publication_view.author;publication_view.publication_title;publication_view.publication_year
Marín-Arroyo, A.B., Mihailović, B.;The Chronometric Dating and Subsistence of Late Neanderthals and Early Anatomically Modern Humans in the Central Balkans: Insights from Šalitrena Pećina (Mionica, Serbia);2017;
Masao, F., Anton, S., Njau, J.;Results of recent investigations of the Oldowan and associated hominid remains at the DK site, Olduvai Gorge: A conservation exercise;2015;
Mason R.J.;Tentative Interpretations of New Radiocarbon Dates for Stone Artefact Assemblages from Rose Cottage Cave, O.F.S. and Bushman Rock Shelter, TVL;1969;
Mason, R.J.;Makapansgat Limeworks Fractured Stone Objects and Natural Fracture in Africa;1965;
Mason, R.J.;Prehistory of the Transvaal;1962;
Mason, R.J.;The Acheulian Culture in South Africa;1961;
Mason, R.J.;The Excavations of Four Caves near Johannesburg;1951;
Mason, R.J.;The Transvaal Middle Stone Age and Statistical Analysis;1957;
Mason, R.J.;The excavation of Doornlaagte, Earlier Stone Age camp, Kimberley District;1966;
Mason, R.J., Brain, C.K., Brown, A.J.V., Cooke, H.B.S., Deacon, H.J., Ewer, R.F., de Graaff, B., Hofmeyr, I., Malan, B.D., Tobias, P.V., du Toit, A.P., Turton, K., Wells, L.H.;Cave of Hearths, Makapansgat, Transvaal;1988;
Mason, R.J., Dart, R.A., Kitching, J.W.;Bone Tools at the Kalkbank Middle Stone Age Site and the Makapansgat Australopithecine Locality, Central Transvaal;1958;
Mason, S.L.R., Hather, J.G., Hillman, G.C.;Preliminary investigation of the plant macro-remains from Dolní Věstonice II, and its implications for the role of plant foods in Palaeolithic and Mesolithic Europe;1994;
Masserey, C., Othenin-Girard, B., Stahl Gretsch, L.I.;Taille de silex mousterién, occupation campaniforme, habitat latènien et route gallo-romaine à Alle (JU);1993;
Massilani, D., Skov, L., Hajdinjak, M., Gunchinsuren, B., Tseveendorj, D., Yi, S., Lee, J., Nagel, S., Nickel, B., Devièse, T., Higham, T., Meyer, M., Kelso, J., Peter Benjamin, M., Pääbo, S.;Denisovan ancestry and population history of early East Asians;2020;
Massoulié, M., Soriano, S., Combier, J.;Les industries lithiques du gisement Paléolithique moyen de Vergisson IV (Saône-et-Loire);2018;
Mathias, C., Grégoire, S., Moncel, M.H.;Nouvelles données sur l'assemblage lithique de la couche L2/3 de La Micoque (Les Eyzies-de-Tayac, Dordogne, France);2017;
Mathis, F., Bodu, P., Dubreuil, O., Salomon, H.;PIXE identification of the provenance of ferruginous rocks used by Neanderthals;2014;
Matias, H.;O Aprovisionamento de Matérias-Primas Líticas na Gruta da Oliveira (Torres Novas);2012;
Matias, H.;Raw material sourcing in the Middle Paleolithic site of Gruta da Oliveira (Central Limestone Massif, Estremadura, Portugal);2016;
Matilla, K.;La Chaise-de-Vouthon (Charente), fouilles P. David (1936-1961) et fouilles A. Debénath (1967-1983): un exemple de débitage bipolaire sur enclume;2010;
Matilla, K., Debénath, A.;La grotte Marcel Clouet à Cognac (Charente);2003;
Matmon, A., Ron, H., Chazan, M., Porat, N., Horwitz, L.K.;Reconstructing the history of sediment deposition in caves: A case study from Wonderwerk Cave, South Africa;2012;
Matsumura, H., Pookajorn, S.;A morphometric analysis of the Late Pleistocene Human Skeleton from the Moh Khiew Cave in Thailand;2005;
Matthews, R.;The early prehistory of Mesopotamia: 500,000 to 4,500 BC;2000;
Matthews, T.;Taphonomy and the Micromammals from Elands Bay Cave;1999;
Matthews, T., Denys, C., Parkington, J.E.;The palaeoecology of the micromammals from the late middle Pleistocene site of Hoedjiespunt 1 (Cape Province, South Africa);2005;
Matyukhin, A.E.;Biruchaya Balka 2: Stratified Palaeolithic site in the lower Don;2012;
Matyukhin, A.E.;Biryuchiya Balka-2: Mnogosloinyi paleoliticheskii pamyatnik v basseine Nizhnego Dona [Biryuchiya Balka-2: Multilayered Palaeolithic site in the Lower Don basin];2012;
Matyukhin, A.E., V., Sapelko, T.V.;Paleolithic Site Biryuchya Balka-2: Geology, Chronology, and Paleoecology;2009;
Maureille, B.;Appendix B: The Unique Hominin Remain: A Fragment of an Upper Permanent Molar Germ;2018;
Maureille, B., Djindjian, F., Garralda, M.D., Mann, A., Vandermeersch, B.;Les dents moustériennes de la grotte Boccard, lieu-dit Bas-de-Morant (commune de Créancey, Côte-d'Or, Bourgogne);2008;
Maureille, B., Garralda, M.D., Madelaine, S., Turq, A., Vandermeersch, B.;Le plus ancien enfant d'Aquitaine: Combe-grenal 31 (domme, france);1994;
Maureille, B., Gómez-Olivencia, A., Couture-Veschambre, C., Madelaine, S., Holliday, T.;Nouveaux restes humains provenant du gisement de Regourdou (Montignac-sur-Vézère, Dordogne, France);2015;
Maureille, B., Holliday, T., Royer, A., Pelletier, M., Madelaine, S., Lacrampe-Cuyaubère, F., Muth, X., Le Gueut, E., Couture-Veschambre, C., Gómez-Olivencia, A., Discamps, E., Texier, J.-P., Turq, A., Lahaye, C.;Importance of field data for understanding a potential Mousterian funerary deposit: the case of the Regourdou 1 skeleton (Montignac-sur-Vézère, Dordogne, France);2015;
Maureille, B., Mann, A., Beauval, C., Bordes, J.-G., Bourguignon, L., Costamagno, S., Couchoud, I., Garralda, M.-D., Geigl, E.-M., Fauquignon, J., Lacrampe-Cuyaubère, F., Grün, R., Guibert, P., Laroulandie, V., Marquet, J.-C., Meignen, L., Mussini, C., Rendu, W., Royer, A., Seguin, G., Texier, J.-P.;Les Pradelles à Marillac-le-Franc (Charente). Fouilles 2001-2007: nouveaux résultats et synthèse;2010;
Maureille, B., Mann, A.E., Beauval, C., Bordes, J.-G., Bourguignon, L., Costamagno, S., Couchoud, I., Lacrampe-Cuyaubère, F., Laroulandie, V., Marquet, J.-C., Meignen, L., Texier, J.-P., Vandermeersch, B.;Le gisement moustérien des Pradelles (Marillac-le-Franc, Charente): passé, présent, futur;2007;
Maureille, B., Rougier, H., Houët, F., Vandermeersch, B.;Les dents inférieures du Néandertalien Regourdou 1 (site de Regourdou, commune de Montignac, Dordogne): Analyses métriques et comparatives;2001;
Mazza, P.P.A., Bertini, A.;The Late Pliocene Site of Poggio Rosso (Central Italy): Taphonomy and Paleoenvironment;2004;
Maíllo-Fernández, J.-M., Jiménez-García, B.;Lithic technology at the Early Dabban in Hagfet ed Dabba (Cyrenaica, Libya);2021;
Maíllo-Fernández, J.M., Bernaldo de Quirós, F.;L’Aurignacien archaïque de la grotte El Castillo (Espagne): caractérisation technologique et typologique;2010;
McBrearty, S.;The Sangoan-Lupemban and Middle Stone Age Sequence at the Muguruk Site, Western Kenya;1988;
McBrearty, S.;The archaeology of the Kapthurin Formation;1999;
McBrearty, S., Bishop, L., Kingston, J.;Variability in traces of Middle Pleistocene hominid behavior in the Kapthurin Formation, Baringo, Kenya;1996;
McBrearty, S., Brooks, A.S.;The revolution that wasn't: a new interpretation of the origin of modern human behavior;2000;
McBrearty, S., Tryon, C.;From Acheulean to Middle Stone Age in the Kapthurin Formation, Kenya;2006;
McBurney, C.B.M.;The Haua Fteah (Cyrenaica) and the stone age of the south-east mediterranean;1967;
McBurney, C.B.M., Hey, R.W.;Prehistory and Pleistocene Geology in Cyrenaican Libya: A Record of Two Seasons' Geological and Archaeological Fieldwork in the Gebel Akhdar Hills, with a Summary of Prehistoric Finds from Neighbouring Territories;1955;
McCall, G.S., Marks, T.P., Thomas, J.T., Eller, M., Horn III, S.W., Horowitz, R.A., Kettler, K., Taylor-Perryman, R.;Erb Tanks: a Middle and Later Stone Age Rockshelter in the Central Namib Desert, Western Namibia;2011;
McCrossin, M.;Human molars from later Pleistocene deposits of Witkrans Cave, Gaap Escarpment, Kalahari Margin;1992;
McDermott, F., Grün, R., Stringer, C.B., Hawkesworth, C.J.;Mass-spectrometric U-series dates for Israeli Neanderthal/early modern hominid sites;1993;
McDougall, I.;K-Ar and 40Ar/39Ar dating of the hominid-bearing Pliocene-Pleistocene sequence at Koobi Fora, Lake Turkana, northern Kenya;1985;
McDougall, I., Brown, F.H.;Precise 40Ar/39Ar geochronology for the upper Koobi Fora Formation, Turkana Basin, northern Kenya;2006;
McDougall, I., Brown, F.H., Fleagle, J.G.;Sapropels and the age of hominins Omo I and II, Kibish, Ethiopia;2008;
McDougall, I., Brown, F.H., Fleagle, J.G.;Stratigraphic placement and age of modern humans from Kibish, Ethiopia;2005;
McDougall, I., Brown, F.H., Vasconcelos, P.M., Cohen, B.E., Thiede, D.S., Buchanan, M.J.;New single crystal 40Ar/39Ar ages improve time scale for deposition of the Omo Group, Omo-Turkana Basin, East Africa;2012;
McDougall, I., Davies, T., Maier, R., Rudowski, R.;Age of the Okote Tuff complex at Koobi Fora, Kenya;1985;
McKee, J.K., Thackeray, J.F., Berger, L.R.;Faunal Assemblage Seriation of Southern African Pliocene and Pleistocene Fossil Deposits;1995;
McKinney, C.R.;Bir Tarfawi: A Stratigraphic Test of Uranium-Series Dating of Tooth Enamel;1993;
McNabb, J., Beaumont, P.;A report on the archaeological assemblages from excavations by Peter Beaumont at Canteen Koppie, Northern Cape, South Africa;2011;
McNabb, J., Binyon, F., Hazelwood, L.;The Large Cutting Tools from the South African Acheulean and the Question of Social Traditions;2004;
McPherron, S.J.P., Dibble, H.L., Sandgathe, D., Goldberg, P., Lin, S.C., Turq, A.;The Lithic Assemblages [Pech de l'Azé IV];2018;
McPherron, S.J.P., Talamo, S., Goldberg, P., Niven, L., Sandgathe, D.M., Richards, M.P., Richter, D., Turq, A., Dibble, H.L.;Radiocarbon dates for the late Middle Palaeolithic at Pech de l'Azé IV, France;2012;
Mcpherron, S.P., Dibble, H.L.;The Lithic Assemblages of Pech de l'Azé IV (Dordogne, France);1999;
Mednikova, M.B.;A proximal pedal phalanx of a Paleolithic hominin from denisova cave, Altai;2011;
Mednikova, M.B.;An Archaic Human Ulna from Chagyrskaya Cave Altai: Morphology and Taxonomy*;2013;
Mednikova, M.B.;Distal Phalanx of the Hand of Homo from Denisova Cave Stratum 12: A Tentative Description;2013;
Medvedev, G., Kov, N., Vorob'eva, G., Kup, D., Kles, L., Lipnina, E., Modri, S., Mukharramov, S., Osadchii, S., Petitt, P., Rebrikov, P., Rogovskii, E., Sitlivyi, V., Sulerzhitskii, L., Khenzykhenova, D.;Mal'tinskoe paleoliticheskoe mestonakhozhdenie (po itogam polevykh rabot 1995 goda) [Palaeolithic locality of Malta (based on the results of the 1995 field works)];1996;
Medvedev, G.I., Berdnikov, A.M., Fedorenko, A.B.;Nekotorye vopsory izucheniya dokeramicheskikh mestonakhozhdenii Angaro-Osinskogo raiona [Some aspects of the study of the pre-ceramic localities in the Angara-Osa area];1991;
Medvedev, G.I., Lipnina, E.A., Rogovskoi, E.O., Oshchepkova, E.B.;Ust'-Kova - mnogosloinoe mestonakhozhdenie Severnogo Priangar'ya. Geoarkheologicheskii aspekt (po resul'tatom rabot 2008 g.) [Multi-layered site of the Northern Angara region - Ust'-Kova. Geoarchaeological aspect (based on the results of the research in 2008)];2015;
Mehlman, M.J.;Archaic Homo sapiens at Lake Eyasi, Tanzania: Recent misrepresentations;1984;
Mehlman, M.J.;Context for the emergence of modern man in Eastern Africa: some new Tanzanian evidence;1991;
Mehlman, M.J.;Excavations at Nasera Rock, Tanzania;1977;
Mehlman, M.J.;Later Quaternary archaeological sequences in northern Tanzania;1989;
Mehlman, M.J.;Mumba-Hohle Revisited: The Relevance of a Forgotten Excavation to Some Current Issues in East African Prehistory;1979;
Mehlman, M.J.;Provenience, age and associations of archaic Homo sapiens crania from Lake Eyasi, Tanzania;1987;
Meignen, L.;Hayonim Cave lithic assemblages in the context of the Near Eastern Middle Paleolithic;2002;
Meignen, L.;Introduction;1993;
Meignen, L.;L'abri moustérien du Brugas à Vallabrix (Gard);1981;
Meignen, L.;Le site moustérien charentien de Ioton (Beaucaire-Gard). Etude sédimentologique et archéologique;1976;
Meignen, L.;Les industries lithiques de l’abri des Canalettes: couche 2;1993;
Meignen, L.;Un Exemple de Comportement Technologique Differentiel selon les Matières Premières: Marillac, couches 9 et 10;1988;
Meignen, L., Bar-Yosef, O.;Nouvelles recherches sur la paleolithique moyen dIsrael: la grotte de Kebara, Unites VIIa XII;1989;
Meignen, L., Geneste, J.-M., Koulakovska, L., Sytnik, A., Usik, V., Haesaerts, P.;New researches at Molodova V, a late MP site in Western Ukraine;2006;
Meignen, L., Tushabramishvili, N.;Djruchula cave, on the Southern slopes of the Great Caucasus: an extension of the Near Eastern Middle Paleolithic blady phenomenon to the North;2010;
Meignen, L., Vandermeersch, B.;Le gisement Moustérien de Marillac (Charente) couches 9 et 10. Caractéristiques des outillages, economie des matières premières;1986;
Mellars, P.;The Neanderthal legacy: An archaeological perspective from western Europe;1996;
Mellars, P., Gravina, B.;Châtelperron: theoretical agendas, archaeological facts, and diversionary smoke-screens;2008;
Mellars, P., Gravina, B., Bronk Ramsey, C.;Confirmation of Neanderthal/modern human interstratification at the Chatelperronian type-site;2007;
Mellars, P., Grün, R.;A Comparison of the Electron Spin Resonance and Thermoluminescence Dating Methods: The Results of ESR Dating at Le Moustier (France);1991;
Mellars, P., Tixier, J.;Radiocarbon-accelerator dating of Ksar 'Aqil (Lebanon) and the chronology of the Upper Palaeolithic sequence in the Middle East;1989;
Meller, H.;Elefantenreich: eine Fossilwelt in Europa;2010;
Melles, M., Brigham-Grette, J., Glushkova, O.Y., Minyuk, P.S., Nowaczyk, N.R., Hubberten, H.-W.;Sedimentary geochemistry of core PG1351 from Lake El'gygytgyn, a sensitive record of climate variability in the East Siberian Arctic during the past three glacial-interglacial cycles;2006;
Menke, B.;Eem-Interglazial und Treene-Warmzeit in Husum/Nordfriesland;1985;
Menke, B.;Neue Ergebnisse zur Stratigraphie und Landschaftsentwicklung im Jungpleistozän Westholsteins;1976;
Menke, B.;Palynologische Untersuchungen zur Transgression des Eem-Meeres im Raum Offenbüttel/Nord-Ostsee-Kanal;1994;
Menke, B., Tynni, R.;Das Eeminterglazial und das Weichselfrühglazial von Rederstall/Dithmarschen und ihre Bedeutung für die mitteleuropäische Jungpleistozän-Gliederung;1984;
Mensan, R., Bourrillon, R., Cretin, C., White, R., Gardère, P., Chiotti, L., Sisk, M., Clark, A., Higham, T., Tartar, E.;Context and dating of newly discovered Aurignacian rock art from Abri Castanet (Dordogne, France);1994;
Menter, C.G., Kuykendall, K.L., Keyser, A.W., Conroy, G.C.;First record of hominid teeth from the Plio-Pleistocene site of Gondolin, South Africa;1999;
Mercader, J.;Mozambican grass seed consumption during the Middle Stone Age;2009;
Mercader, J., Alison, S.B.;Across Forests and Savannas: Later Stone Age Assemblages from Ituri and Semliki, Democratic Republic of Congo;2001;
Mercader, J., Asmerom, Y., Bennett, T., Raja, M., Skinner, A.;Initial excavation and dating of Ngalue Cave: A Middle Stone Age site along the Niassa Rift, Mozambique;2009;
Mercader, J., Bennett, T., Raja, M.;Middle Stone Age starch acquisition in the Niassa Rift, Mozambique;2008;
Mercader, J., Gosse, J.C., Bennett, T., Hidy, A.J., Rood, D.H.;Cosmogenic nuclide age constraints on Middle Stone Age lithics from Niassa, Mozambique;2012;
Mercader, J., Marti, R.;The Middle Stone Age Occupation of Atlantic Central Africa: New Evidence from Equatorial Guinea and Cameroon;2002;
Mercader, J., Marti, R., Martinez, J.L., Brooks, A.;The nature of stone-lines in the African Quaternary record: archaeological resolution at the rainforest site of Mosumu, Equatorial Guinea;2002;
Mercier, N., Martin, L., Kreutzer, S., Moineau, V., Cliquet, D.;Dating the palaeolithic footprints of ‘Le Rozel’ (Normandy, France);2019;
Mercier, N., Valladas, G., Froget, L., Joron, J.L., Reyss, J.L., Weiner, St., Goldberg, P., Meignen, L., Bar-Yosef, O., Belfer-Cohen, A., Chech, M., Kuhn, S.L., Stiner, M.C., Tillier, A.-M., Arensburg, B., Vandemeersch, B.;Hayonim Cave: a TL-based chronology for this Levantine Mousterian sequence;2007;
Mercier, N., Valladas, H.;Reassessment of TL age estimates of burnt flints from the Paleolithic site of Tabun Cave, Israel;2003;
Mercier, N., Valladas, H., Bar-Yosef, O., Vandermeersch, B., Stringer, C., Joron, J.L.;Thermoluminescence Date for the Mousterian Burial Site of Es-Skhul, Mt. Carmel;1993;
Mercier, N., Valladas, H., Froget, L., Joron, J.L., Vermeersch, P.M., Van Peer, P., Moeyersons, J.;Thermoluminescence Dating of a Middle Palaeolithic Occupation at Sodmein Cave, Red Sea Mountains (Egypt);1999;
Mercier, N., Valladas, H., Joron, J.L., Reyss, J.L., Lévêque, F., Vandermeersch, B.;Thermoluminescence dating of the late Neanderthal remains from Saint-Césaire;1991;
Mercier, N., Valladas, H., Meignen, L., Joron, J.L., Tushabramishvili, N., Adler, D.S., Bar-Yosef, O.;Dating the Early Middle Palaeolithic Laminar Industry from Djruchula Cave, Republic of Georgia;2010;
Mercier, N., Valladas, H., Valladas, G.;Flint thermoluminescence dates from the CFR laboratory at Gif: Contributions to the study of the chronology of the middle palaeolithic;1995;
Mercier, N., Wengler, L., Valladas, H., Joron, J.L., Froget, L., Reyss, J.L.;The Rhafas Cave (Morocco): Chronology of the mousterian and aterian archaeological occupations and their implications for Quaternary geochronology based on luminescence (TL/OSL) age determinations;2007;
Merlet, J.-C.;Le gisement paleolithique du Moulin de Benesse;1993;
Meroc, L., Mazet, J.;Cougnac - Grotte Peinte;1956;
Mersey, B., Brudvik, K., Black, M.T., Defleur, A.;Neanderthal axial and appendicular remains from Moula-Guercy, Ardeche, France;2013;
Mersey, B., Jabbour, R.S., Brudvik, K., Defleur, A.;Neanderthal hand and foot remains from Moula-Guercy, Ardeche, France;2013;
Meshveliani, T., Bar-Yosef, O., Belfer-Cohen, A.;The Upper Paleolithic in Western Georgia;2004;
Messager, E., Lordkipanidze, D., Ferring, C.R., Deniaux, B.;Fossil fruit identification by SEM investigations, a tool for palaeoenvironmental reconstruction of Dmanisi site, Georgia;2008;
Meyer, M., Kircher, M., Gansauge, M.-T., Li, H., Racimo, F., Mallick, S., Schraiber Joshua, G., Jay, F., Prüfer, K., de Filippo, C., Sudmant Peter, H., Alkan, C., Fu, Q., Do, R., Rohland, N., Tandon, A., Siebauer, M., Green Richard, E., Bryc, K., Briggs Adrian, W., Stenzel, U., Dabney, J., Shendure, J., Kitzman, J., Hammer Michael, F., Shunkov Michael, V., Derevianko Anatoli, P., Patterson, N., Andrés Aida, M., Eichler Evan, E., Slatkin, M., Reich, D., Kelso, J., Pääbo, S.;A High-Coverage Genome Sequence from an Archaic Denisovan Individual;2012;
Mgeladze, A., Lordkipanidze, D., Moncel, M.-H., Despriee, J., Chagelishvili, R., Nioradze, M., Nioradze, G.;Hominin occupations at the Dmanisi site, Georgia, Southern Caucasus: Raw materials and technical behaviours of Europe s first hominins;2011;
Michel, A.;L'Aurginacien récent (post-ancien) dans le Sud-Ouest de la France: Variabilité des productions lithiques. Révision taphonomique et techno-économique des sites de Caminade-Est, Abri Pataud, Roc-de-Combe, Le Flageolet I, La Ferrassie et Combemenue;2010;
Michel, A., d'Errico, F., Lenoble, A., Vanhaeren, M., Ramirez Rozzi, F., Grootes, P.M., Renou, S., Rendu, W., Daulny, L., Verna, C., Roger, G.;Nouvelles fouilles sur le site aurignacien Chez les rois (Mouthiers-sur-Boeme, Charente);2008;
Michel, V., Delanghe-Sabatier, D., Bard, E., Barroso Ruiz, C.;U-series, ESR and 14C studies of the fossil remains from the Mousterian levels of Zafarraya Cave (Spain): A revised chronology of Neandertal presence;2013;
Michel, V., Feng, X., Shen, G., Cauche, D., Moncel, M.-H., Gallet, S., Gratuze, B., Wei, J., Ma, X., Liu, K.;Site de plein air de Nalai du Paléolithique inférieur, dans le sud de la Chine, daté de 800 000 ans. Première datation Argon-Argon de tectites en association directe avec des bifaces en Chine;2021;
Michel, V., Feng, X., Shen, G., Cauche, D., Moncel, M.H., Gallet, S., Gratuze, B., Wei, J., Ma, X., Liu, K.;First (40)Ar/(39)Ar analyses of Australasian tektites in close association with bifacially worked artifacts at Nalai site in Bose Basin, South China: The question of the early Chinese Acheulean;2021;
Michel, V., Shen, C.-C., Woodhead, J., Hu, H.-M., Wu, C.-C., Moullé, P.-É., Khatib, S., Cauche, D., Moncel, M.-H., Valensi, P., Chou, Y.-M., Gallet, S., Echassoux, A., Orange, F., de Lumley, H.;New dating evidence of the early presence of hominins in Southern Europe;2017;
Michel, V., Shen, G., Shen, C.-C., Wu, C.-C., Vérati, C., Gallet, S., Moncel, M.-H., Combier, J., Khatib, S., Manetti, M.;Application of U/Th and 40Ar/39Ar Dating to Orgnac 3, a Late Acheulean and Early Middle Palaeolithic Site in Ardèche, France;2013;
Michel, V., Shen, G., Valensi, P., de Lumley, H.;ESR dating of dental enamel from Middle Palaeolithic levels at Lazaret Cave, France;2009;
Michel, V., Yokoyama, Y., Falguères, C., Ivanovich, M.;Problems Encountered in the U-Th Dating of Fossil Red Deer Jaws (Bone, Dentine, Enamel) from Lazaret Cave: a Comparative Study with Early Chronological Data;2000;
Mihailovic, D., Mihailovic, B.;Considérations sur le Gravettien et l'Épigravettien ancien des Balkans de l’ouest;2007;
Mihailović, B., Mihailović, D., Latas, A., Lindal, J.;Salitrena cave - terrace: Preliminary investigation results;2014;
Mihailović, D.;New data about the middle Palaeolithic of Serbia;2008;
Mihailović, D.;Palaeolithic and Mesolithic Research in the Central Balkans;2014;
Mihailović, D.;Paleolithic-Mesolithic Crvena Stijena in Relation to Other Sites;2017;
Mihailović, D., Whallon, R.;Crvena Stijena revisited: The Late Mousterian assemblages;2017;
Mijares, A.S., Détroit, F., Piper, P., Grün, R., Bellwood, P., Aubert, M., Champion, G., Cueves, N., De Leon, A., Dizon, E.;New Evidence for a 67,000-year-old human presence at Callao Cave, Luzon, Philippines;2010;
Miller, C.E.;A Tale of Two Swabian Caves: Geoarchaeological Investigations at Hohle Fels an Geißenklösterle;2015;
Miller, C.E., Goldberg, P., Berna, F.;Geoarchaeological investigations at Diepkloof Rock Shelter, Western Cape, South Africa;2013;
Miller, C.E., Mentzer, S.M., Berthold, C., Leach, P., Ligouis, B., Tribolo, C., Parkington, J., Porraz, G.;Site-formation processes at Elands Bay Cave, South Africa;2016;
Miller, G.H.;Chronology of Hominid Occupation at Bir Tarfawi and Bir Sahara East, Based on the Epimerization of Isoleucine in Ostrich Eggshells;1993;
Miller, G.H., Beaumont, P.B., Deacon, H.J., Brooks, A.S., Hare, P.E., Jull, A.J.T.;Earliest modern humans in southern Africa dated by isoleucine epimerization in ostrich eggshell;1999;
Miller, R.;Maisières-Canal: An open-air Aurignacian workshop;2014;
Miller, R., Cattelain, P., Flas, D., Otte, M., Pirson, S., Toussaint, M.;Couvin/Couvin: fouilles 2010 au Trou de l'Abîme;2012;
Miller, R., Collin, F., Otte, M., Stewart, J.;Le Trou Al’Wesse : du Moustérien au Néolithique dans la vallée du Hoyoux;2011;
Miller, R., Flas, D., Guillaume, A.;La structure de l'ensemble lithique aurignacien;2004;
Miller, R., Flas, D., Guillaume, A., Otte, M.;Analyses technologiques d'un atelier de taille aurignacien à Maisières-Canal (Province du Hainaut, Belgique);2003;
Miller, R., Guillaume, A., Flas, D.;L'occupation gravettienne de l'atelier de taille de la Berge Nord-Est;2004;
Miller, R., Stewart, J., Knul, M., Waersegers, Y., Noiret, P., Wilkinson, K.;The Middle to Upper Paleolithic transition at Trou Al'Wesse: A preliminary overview of stratigraphic units 17 to 15;2015;
Miller, R., Zwyns, N., Otte, M.;Le site du Trou Al'Wesse (comm. de Modave): Campagne de Fouille 2004;2004;
Miller, S.F.;The Age of Nachikufan Industries in Zambia;1971;
Milli, S., Palombo, M.R.;The high-resolution sequence stratigraphy and the mammal fossil record: a test in the Middle-Upper Pleistocene deposits of the Roman Basin (Latium, Italy);2005;
Minichillo, T.;Middle Stone Age Lithic Study, South Africa: An Examination of Modern Human Origins;2005;
Minugh-Purvis, N.;Ontogeny and Morphology of the Child's Mandible from Šipka-Moravia, Czech Republic;2000;
Minzoni-Deroche, A., Menu, M., Walter, P.;The working of pigment during the Aurignacian period: evidence from Ucagizli Cave (Turkey);1995;
Miracle, P.T., Lenardić, J.M., Brajković, D.;Last glacial climates,"Refugia", and faunal change in Southeastern Europe: Mammalian assemblages from Veternica, Velika pecina, and Vindija caves (Croatia);2010;
Mishra, S.;Prehistoric and Quaternary Studies at Nevasa: the Last Forty Years;1995;
Mishra, S., Chauhan, N., Singhvi, A.K.;Continuity of microblade technology in the Indian Subcontinent since 45 ka: implications for the dispersal of modern humans;2013;
Miskovsky, J.-C., Lévêque, F.;Stratigraphie et Etude Sédimentologique de Saint-Césaire: Apports dans l'Etude Paléoclimatique;1993;
Mitchell, P.;Archaeological Investigations at two Lesotho Rock-shelters: Terminal Pleistocene/Early Holocene Assemblages from Ha Makotoko and Ntloana Tsoana;1993;
Mitchell, P.;The Archaeology of Southern Africa;2002;
Mitchell, P.J.;Revisiting the Robberg: New Results and a Revision of Old Ideas at Sehonghong Rock Shelter, Lesotho;1995;
Mitchell, P.J.;Sehonghong: The Late Holocene Assemblages with Pottery;1996;
Mitchell, P.J.;The late Quaternary of the Lesotho highlands, southern Africa: Preliminary results and future potential of ongoing research at Sehonghong shelter;1996;
Mitchell, P.J.;Understanding the MSA/LSA transition: The pre-20 000 BP assemblages from new excavations at Sehonghong Rockshelter, Lesotho;1994;
Mitchell, P.J., Steinberg, J.M.;Ntloana Tsoana: A Middle Stone Age Sequence from Western Lesotho;1992;
Mlynarski, M., Böhme, G., Ullrich, H.;Amphibien- und Reptilienreste aus der jungpleistozänen Deckschichtenfolge des Travertins von Burgtonna in Thüringen;1978;
Mochanov, Y.A.;Drevneishie etapy zaseleniya chelovekov severo-vostochnoi Azii [Ancient human occupation stages of the north-eastern Asia];1977;
Modl, D., Brandl, M., Pacher, M., Drescher-Schneider, R.;Abriss der Erforschungsgeschichte der Repolusthöhle (Steiermark, Österreich) mit einem Bericht zu einer Feststellungsgrabung im Jahr 2010;2014;
Modl, D., Pacher, M.;Die Pseudoartefakte und der Wolfszahnanhänger aus der Repolusthöhle (Steiermark, Österreich) – Mit einem Diskussionsbeitrag zum Neandertaler und dem Mittelpaläolithikum im Südostalpenraum;2014;
Moeyersons, J.;Geomorphological processes and their palaeoenvironmental significance at the Shum Laka cave (Bamenda, western Cameroon);1997;
Moeyersons, J., Vermeersch, P.M., Van Peer, P.;Dry cave deposits and their palaeoenvironmental significance during the last 115ka, Sodmein Cave, Red Sea Mountains, Egypt;2002;
Moeyersons, J., Vermeersch, P.M., Van Peer, P., Van Neer, W., Beeckman, H., De Coninck, E.;Sodmein Cave site, Red Sea Mountains, Egypt: development, stratigraphy and palaeoenvironment;1996;
Moggi-Cecchi, J., Grine, F.E., Tobias, P.V.;Early hominid dental remains from Members 4 and 5 of the Sterkfontein Formation (1966-1996 excavations): Catalogue, individual associations, morphological descriptions and initial metrical analysis;2006;
Mogoşanu, F.;Paleoliticul din Banat;1978;
Mohapi, M.;The Middle Stone Age point assemblage from Umhlatuzana Rock Shelter: a morphometric study;2013;
Moigne, A.-M., Palombo, M.R., Belda, V., Heriech-Briki, D., Kacimi, S., Lacombat, F., Lumley, M.-A., Moutoussamy, J., Rivals, F., Quilès, J., Testu, A.;Les faunes de grands mammifères de la Caune de l'Arago (Tautavel) dans le cadre biochronologique des faunes du Pléistocène moyen italien;2006;
Moigne, A.-M., Vealensi, P., Auguste, P., García-Solano, J., Tuffreau, A., Lamotte, A., Barroso-Ruíz, C., Moncel, M.-H.;Bone retouchers from Lower Palaeolithic sites: Terra Amata, Orgnac 3, Cagny-l'Epinette and Cueva del Angel;2016;
Moles, V., Boutié, P.;Contribution à la reconnaissance d’une microproduction au Paléolithique moyen : les industries de la grotte des Ramandils (Port-La Nouvelle, Aude, France);2009;
Molist, M., Cauvin, M.-C.;Une Nouvelle sequence stratifiee pour la prehistoire en Syrie semi-desertique;1990;
