publication_view.idpublication;publication_view.publication_year;publication_view.source_title;
2607;1967;Bulletin de la Société Préhistorique Française;
2608;1994;Paleo;
2609;2010;L'Aurginacien récent (post-ancien) dans le Sud-Ouest de la France: Variabilité des productions lithiques. Révision taphonomique et techno-économique des sites de Caminade-Est, Abri Pataud, Roc-de-Combe, Le Flageolet I, La Ferrassie et Combemenue;
2610;1975;Excavation of the Abri Pataud, Les Eyzies (Dordogne), Vol. 1;
2611;1977;Excavation of the Abri Pataud, Les Eyzies (Dordogne), Stratigraphy;
2612;1935;Bulletin de la Société Préhistorique Française;
2613;1946;Gallia;
2614;1960;Le Paléolithique supérieur en Perigord, Tome I;
2615;1960;Le Paléolithique supérieur en Perigord, Tome II;
2616;1969;Bulletin de la Société Préhistorique Française;
2617;1970;Quaternaria;
2618;1952;Bulletin de la Société Préhistorique Française;
2619;1994;Paleo;
2620;2013;Le Gravettien final de l'abri Pataud (Dordogne, France). Fouilles et études 2005-2009;
2621;2013;Le Gravettien final de l'abri Pataud (Dordogne, France). Fouilles et études 2005-2009;
2622;2018;Quaternary International;
2623;2012;Proceedings of the National Academy of Sciences of the United States of America;
2624;2011;The effects of lithic raw material quality on Aurignacian blade production at Abri Cellier;
2625;2013;Le Gravettien final de l'abri Pataud (Dordogne, France). Fouilles et études 2005-2009;
2626;1911;Bulletin de la Société Historique et Archéologique du Périgord;
2631;2005;Neandertales cantábricos, estado de la cuestión: actas de la reunión científica: celebrada en el Museo de Altamira los días 20-22 de octubre de 2004;
2632;2005;Notae Praehistoricae;
2633;2005;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
2634;2004;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
2635;2005;Neandertales cantábricos, estado de la cuestión: actas de la reunión científica: celebrada en el Museo de Altamira los días 20-22 de octubre de 2004;
2636;1971;Anthropologie;
2637;1994;Paleo;
2638;2016;American Journal of Physical Anthropology;
2639;2015;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
2640;2017;Journal of Human Evolution;
2641;1995;The Middle Paleolithic Site of Combe-Capelle Bas (France);
2642;2006;Paleontological Journal;
2643;1970;Bulletin de la Société Préhistorique Française;
2644;1972;A Tale of Two Caves;
2645;2003;Discoid Lithic Technology: Advances and Implications;
2651;2015;Archaeological and Anthropological Sciences;
2652;2011;In Between Sand and Sea: The Archaeology and Human Ecology of Southwestern Asia;
2653;2007;9th Annual Report of Archaeological Organisation;
2654;2007;The 2007 season of the Tübingen-Iranian Stone Age Research Project in Dasht-e Rostam, Fars Province;
2655;1962;Gallia Préhistoire;
2656;1968;Gallia Préhistoire;
2657;2015;Theory and Practice of Archaeological Research;
2658;2013;Archaeology, Ethnology and Anthropology of Eurasia;
2659;2005;Archaeology, Ethnology and Anthropology of Eurasia;
2660;2015;Theory and Practice of Archaeological Research;
2661;1995;The Middle Paleolithic Site of Combe-Capelle Bas (France);
2662;1995;The Middle Paleolithic Site of Combe-Capelle Bas (France);
2663;1995;The Middle Paleolithic Site of Combe-Capelle Bas (France);
2664;2011;Organistation techno-économique des industries du Paléolithique moyen récent dans le nord-est aquitain;
2665;2014;Quaternary International;
2667;2017;Journal of Anthropological Archaeology;
2668;2018;Antiquity;
2669;2016;Theory and Practice of Archaeological Research;
2670;1909;Revue de l'École d'Anthropologie de Paris;
2671;1998;American Antiquity;
2672;2013;Archaeology, Ethnology and Anthropology of Eurasia;
2673;2017;Palaeogeography, Palaeoclimatology, Palaeoecology;
2674;2002;Le Moustérien de tradition acheulénne du sud-oust de la France. Discussion sur la signification du faciès à partir de l'étude comparée de quatre sites: Pech-de-l'Azé, Le Moustier, La Rochette et la Grotte XVI;
2675;2007;Problems of Archaeology, Ethnography, Anthropology of Siberia and Neighboring Territories;
2676;2016;Stratigraphy, Geological correlation;
2677;1990;Le silex de sa genèse à l'outil, tome II. Actes du V° Colloque International sur le Silex, Bordeaux, 17 Sept.-2 Oct. 1987;
2681;2015;Revista Atlántica-Mediterránea;
2682;1994;SAGVNTVM Papeles del laboratorio de arqueología de Valencia;
2683;1992;Recerques del Museu D'Alcoi;
2684;2006;En el centenario de la Cueva del Castillo: El ocaso de los neandertales;
2686;2004;Zephyrus;
2687;2006;En el centenario de la Cueva del Castillo: El ocaso de los neandertales;
2688;1999;Sautuola;
2689;1995;Procesos técnicos y variabilidad en la industria lítica del Pleistoceno Medio de la meseta: Sierra de Atapuerca, Torralba, Ambrona y Aridos;
2690;2006;Estudios Geológicos;
2691;2010;Oxford Journal of Archaeology;
2692;2008;Treballs d'Arqueologia;
2693;1979;Cuadernos de prehistoria y arqueología de la Universidad de Granada;
2694;2010;Zona Arqueológica;
2695;2013;Animals for food, animals for tools: fauna as a source of raw material at Abri Cellier, Dordogne, and the Grotte du Renne, Arcy-sur-Cure;
2696;1994;Paleo;
2697;2000;Paleo;
2698;1994;Paleo;
2699;1994;Paleo;
2700;2006;Scientific Annals, School of Geology;
2701;1952;Bulletin de la Société Préhistorique Française;
2703;2013;Vestnik Novosibirskogo Universiteta, History and Philosophy series;
2704;2004;Archaeology, Ethnology and Anthropology of Eurasia;
2705;1993;Current Anthropology;
2706;2016;Archaeology, Ethnology and Anthropology of Eurasia;
2707;2019;Archaeological Research in Asia;
2708;2010;Quaternary International;
2709;2001;Journal of Archaeological Science;
2710;2010;Paleo;
2711;2003;The Chronology of the Aurignacian and of the Transitional Technocomplexes: Dating, Stratigraphies, Cultural Implications;
2712;1995;Antiquity;
2714;1914;Archiv für Anthropologie;
2715;1914;Archiv für Anthropologie;
2716;2016;Journal of Archaeological Science: Reports;
2717;2006;South African Journal of Science;
2718;2004;Beyond the site. The Saalian archaeological record at Maastricht-Belvédère (The Netherlands);
2719;2012;Analecta Prehistorica Leidensia;
2720;2008;Recherches à la grotte Walou à Trooz (Belgique). Second rapport de fouille;
2721;1997;Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science;
2722;2010;Journal of Human Evolution;
2723;2012;Proceedings of the Prehistoric Society;
2724;1985;Mededelingen Rijks Geologische Dienst;
2725;1988;From find scatters to early hominid behaviour. A study of Middle Palaeolithic riverside settlements at Maastricht-Belvédère (The Netherlands);
2726;1992;Analecta Prehistorica Leidensia;
2727;2017;The Lower to Middle Palaeolithic Transition in Northwestern Europe: Evidence from Kesselt-Op de Schans;
2728;1985;Mededelingen Rijks Geologische Dienst;
2729;2014;Encyclopedia of Global Archaeology;
2730;2011;Characteristic Features of the Middle to Upper Paleolithic Transition in Eurasia. Proceedings of the International Symposium "Characteristic Features of the Middle to Upper Paleolithic Transition in Eurasia: Development of Culture and Evolution of Homo Genus" (July 4-10, 2011, Denisova Cave, Altai);
2731;2016;Quaternary International;
2732;2017;Archaeology, Ethnology and Anthropology of Eurasia;
2733;2003;Deinsea;
2734;2007;Naturwissenschaften - The Science of Nature;
2735;2009;L'Anthropologie;
2736;2012;Quaternary International;
2737;2015;Quaternary International;
2738;2015;Quaternary Science Reviews;
2739;2012;Quaternary International;
2740;1991;Methodes d'Acquisition et Signification des Industries Lithiques au Paléolithique moyen: L'Exemple des Gisements de Plein Air du Nord de la France;
2741;1995;Bulletin de la Société Préhistorique Française;
2742;2018;Journal of Archaeological Science: Reports;
2743;2015;Quaternary Geochronology;
2744;1993;Radiation and Isotopes;
2745;1958;L'Anthropologie;
2746;1969;Livret-Guide de l'Excursion A5. Landes-Périgord. VIIIe Congrès d'INQUA;
2747;1952;Quatre cents siècles d'art parietal. Les cavernes ornées de l'Age du Renne;
2748;1949;Gallia;
2749;1984;Le grand abri de la Ferrassie. Fouilles 1968-1973;
2751;1984;Le grand abri de la Ferrassie. Fouilles 1968-1973;
2752;1984;Le grand abri de la Ferrassie. Fouilles 1968-1973;
2753;1984;Le grand abri de la Ferrassie. Fouilles 1968-1973;
2754;1997;Journal of Archaeological Science;
2755;2015;Journal of Archaeological Science;
2756;2011;Comptes Rendus Palevol;
2757;2012;Étude des Comportements des premiers Néandertaliens du Nord de la France. Les occupations saaliens des gisements de Biache-Saint-Vaast et de Therdonne;
2758;1941;L'Anthropologie;
2759;1984;Le grand abri de la Ferrassie. Fouilles 1968-1973;
2760;2002;Bettencourt-Saint-Ouen (Somme). Cinq occupations paléolitiques au début de la dernière glaciation;
2761;2001;L'Acheuléen dans la vallée de la Somme: données récentes;
2762;2017;Paleo;
2763;1916;La Micoque. Die Kultur einer neuen Diluvialrasse;
2764;1934;Préhistoire;
2765;1938;Bulletin de la Société Préhistorique Française;
2766;1938;Laugerie-Haute près des Eyzies (Dordogne);
2767;1978;Bulletin de l'Association Française pour l'Etude du Quaternaire;
2768;1982;Le Paléolithique en Perigord: Les données sud-ouest sarladais et leurs implications;
2769;2016;Paleo;
2770;2004;Die oberen Schichten von La Micoque (Dordogne, Frankreich);
2771;2013;Journal of Archaeological Science;
2772;1988;Geoarchaeology;
2773;1986;Current Anthropology;
2774;1966;Le Solutréen en France;
2775;1978;Bulletin de l'Association Française pour l'Etude du Quaternaire;
2776;1978;Revue du Nord;
2777;1978;Bulletin de l'Association Française pour l'Etude du Quaternaire;
2778;1984;Le grand abri de la Ferrassie. Fouilles 1968-1973;
2779;1989;Le Gisement Paléolithique moyen de Biache-Saint-Vaast (Pas-de-Calais);
2780;1974;Archäologische Informationen;
2781;2015;Journal of Human Evolution;
2782;2018;Journal of Human Evolution;
2783;1976;Mémoire des Archives de l'Institut de Paléontologie;
2784;1989;Le Gisement Paléolithique moyen de Biache-Saint-Vaast (Pas-de-Calais);
2785;1989;Le Gisement Paléolithique moyen de Biache-Saint-Vaast (Pas-de-Calais);
2786;2003;Étude descriptive et comparative de Biache-Saint-Vaast 1 (Biache-Saint-Vaast, Pas-de-Calais, France);
2787;1978;Quaternaire;
2789;1991;L'Anthropologie;
2790;2002;HOMO - Journal of Comparative Human Biology;
2791;2018;PLOS ONE;
2792;1996;Anthropologie;
2793;2014;Journal of Human Evolution;
2794;2011;Radiation Measurements;
2795;2009;L'Anthropologie;
2798;1979;Quaternaria;
2799;1992;I primi abitanti della Valle Padana: Monte Poggiolo nel quadro delle conoscenze europee;
2800;1998;Quaternary International;
2802;2020;Quaternary International;
2803;2005;Quaternary International;
2804;1965;Current Anthropology;
2805;2015;Quaternary International;
2806;1978;Quaternaria;
2807;2011;Earth and Planetary Science Letters;
2808;2009;L'Anthropologie;
2809;2018;Quaternary Science Reviews;
2810;2016;Quaternary Geochronology;
2811;1983;Isernia la Pineta, un accampamento piu antico di 700,000 anni;
2812;1991;Isernia La Pineta, nuovi contributi scientifici. Istituto Regionale per gli Studi Storici dei Molise "V. Cuoco", Isernia;
2813;1992;I primi abitanti della Valle Padana: Monte Poggiolo nel quadro delle conoscenze europee;
2814;1994;Le industrie litiche del giacimento paloelitico Isernia La Pineta: la tipologia, le tracce di usura, la sperimentazione;
2815;1998;L'Anthropologie;
2816;2016;Quaternary International;
2817;1978;Quaternaria;
2818;2009;L'Anthropologie;
2820;2016;PLOS ONE;
2821;1982;Atti delle Riunione Scientifica Istituto Italiano di Preistoria e Protostoria;
2822;1994;Atti delle Riunione Scientifica Istituto Italiano di Preistoria e Protostoria;
2824;2003;Earth-Science Reviews;
2825;2012;Laminar technology and the onset of the Upper Paleolithic in the Altai, Siberia;
2826;2018;Nature;
2827;2003;Paleoenvironment and Paleolithic human occupation of Gorny Altai. Subsistence and adaptation in the vicinity of Denisova Cave;
2828;2011;Science;
2829;2017;Journal of Archaeological Science: Reports;
2830;2012;Vestnik Novosibirskogo Universiteta, History and Philosophy series;
2831;2015;Palaeogeography, Palaeoclimatology, Palaeoecology;
2833;2011;Quaternary Research;
2834;2001;Antiquity;
2835;2015;Journal of Human Evolution;
2837;2015;Philosophical Transactions of the Royal Society B: Biological Sciences;
2838;2015;Quaternary International;
2839;2008;Journal of Human Evolution;
2840;2013;Quaternary Science Reviews;
2841;2013;Quaternary International;
2842;2013;Quaternary Science Reviews;
2843;2012;The Palaeolithic occupation of the Thar Desert;
2844;1983;Palaeoenvironments and Prehistory in the Middle Son Valley;
2845;1999;Journal of Human Evolution;
2846;1994;Journal of Human Evolution;
2847;2003;Les Nappes alluviales de la basse vallée de l'Yonne, approches géométrique et chronostratigraphique et l'apport de l'étude de la Nappe de Sopucy à la compréhension des occupations du Paléolithique inférieur de Soucy;
2848;2000;Géographie physique et Quaternaire;
2849;2004;Quaternaire;
2850;2015;Journal of Human Evolution;
2851;2005;Journal of African Archaeology;
2852;2013;Journal of Human Evolution;
2853;2014;Quaternary International;
2854;1982;Bulletin de l'Association Française pour l'Etude du Quaternaire;
2855;1999;Le technocomplexe micoquien en Europe de l'ouest et centrale: exemples de trois gisements du sud-est du basin parisien, Vinneuf et Champlost (Yonne), Verrières-le-Buisson (Essonne);
2856;2010;Journal of Archaeological Science;
2857;2007;Primeras ocupaciones humanas en la Península Ibérica: paleoeconomía en la Sierra de Atapuerca (Burgos) y la cuenca de Guadix-Baza (Granada) durante el pleistoceno inferior;
2858;2000;African Natural History;
2859;2015;Emergence and Diversity of Modern Human Behavior in Paleolithic Asia;
2860;2000;Industries lithiques du Paléolithique moyen à nombreuses fractures. Les exemples du secteur sud de Champlost (Yonne) et de le Couche inférieure de "Chez-Pourré - Chez-Compte" (Corrèze);
2861;2007;Antiquity;
2862;2000;Gallia Préhistoire;
2863;2003;Bulletin de la Société Préhistorique Française;
2864;2004;Bulletin de la Société Préhistorique Française;
2865;1996;Bulletin de la Société Préhistorique Française;
2866;2001;Geobios;
2867;1998;Complutum;
2868;2013;PLOS ONE;
2869;2015;Quaternary Geochronology;
2870;2011;Quaternary International;
2871;2013;Quaternary International;
2872;2011;Quaternary International;
2873;2000;Proceedings of the National Academy of Sciences of the United States of America;
2874;2006;Axe Age: Acheulian Tool-Making from Quarry to Discard;
2875;2002;Current Science;
2876;2006;Journal of Human Evolution;
2877;2007;Science;
2878;2013;Journal of Human Evolution;
2879;2010;Quaternary Science Reviews;
2880;2014;Comptes Rendus Palevol;
2881;2002;Datation par résonance paramagnétique électronique (RPE) de quartz blanchis extraits de sédiments fluviatiles pléistocènes: contribution méthodologique et application aux systèmes de la Creuse, du Loir et de l'Yonne;
2882;2015;La Préhistoire en Bourgogne: État des connaissances et bilan 1994-2005;
2883;1988;Revue Archéologique de Picardie;
2884;2010;Quaternary International;
2885;1988;Revue Archéologique de Picardie;
2886;2010;The Upper Palaeolithic Revolution in Global Perspective;
2887;2001;Human Evolution;
2888;1996;Nature;
2889;1996;Acta Anthropologica Sinica;
2890;2019;Quaternary Geochronology;
2891;2015;Quaternary International;
2892;2017;Journal of Human Evolution;
2893;2001;Quaternary Science Reviews;
2894;2015;PLOS ONE;
2895;2015;American Journal of Physical Anthropology;
2896;2007;Bulletin de la Société Préhistorique Française;
2897;2004;Bulletin de la Société Préhistorique Française;
2898;2010;Paleo;
2899;2011;Neanderthal Lifeways, Subsistence and Technology: One Hundred Fifty Years of Neanderthal Study;
2900;2001;La Terra degli Elefanti - The World of Elephants;
2901;1989;L'Anthropologie;
2903;1992;Paper of the Fourth Conference of Italian Archaeology, New Development in Italian Archaeology, Part 1;
2904;2019;Journal of Human Evolution;
2905;2015;PLOS ONE;
2906;2012;Quaternary International;
2907;2016;Quaternary International;
2908;1980;Bulletin du Musée d'Anthropologie Préhistorique de Monaco;
2909;1983;Bulletin du Musée d'Anthropologie Préhistorique de Monaco;
2910;2011;Nature;
2911;2014;Journal of Human Evolution;
2912;1979;Quaternaria;
2914;2010;Quaternary International;
2915;2015;Quaternary International;
2916;2015;Quaternary International;
2917;1993;Bulletin du Musée d'Anthropologie Préhistorique de Monaco;
2918;2012;Quaternary International;
2919;2019;PLOS ONE;
2920;1953;Le gisement quaternaire de la Valle Giumentina (Abruzzes adriatiques), Stratigraphie et Palethnologie;
2921;2014;Journal of Human Evolution;
2922;2016;American Journal of Physical Anthropology;
2923;1997;Il Paleolitico di Castelcivita: Culture e Ambiente;
2924;2017;Scientific Reports;
2925;1991;Quaternaria Nova;
2926;1966;Recherches sur l'origine et l'évolution des complexes leptolithiques;
2927;1962;Atti dell'Istituto Veneto di Scienze, Lettere e Arti;
2928;2017;Quaternary Science Reviews;
2929;2017;Quaternary International;
2930;2009;Journal of Volcanology and Geothermal Research;
2931;2018;Quaternary Science Reviews;
2932;2013;Quaternary International;
2933;2018;Journal of Anthropological Sciences;
2934;2016;Quaternary International;
2935;1963;Rivista di Scienze Preistoriche;
2936;2017;Journal of Archaeological Science: Reports;
2937;2015;Quaternary International;
2938;1996;Gli scavi a Castel di Guido. Il più antico giacimento di cacciatori del paleolitico inferiore nell'Agro Romano;
2939;1979;Atti della Società Toscana di Scienze Naturali Memorie, Serie A;
2940;2015;Quaternary International;
2941;2016;Quaternary International;
2942;1991;Quaternaria Nova;
2943;1991;Quaternaria Nova;
2944;2017;PLOS ONE;
2945;1967;Quaternaria;
2946;1979;Quaternaria;
2947;1970;Rivista di Scienze Preistoriche;
2948;2016;Quaternary Science Reviews;
2949;1991;Quaternaria Nova;
2950;2018;Quaternary Science Reviews;
2951;1984;Atti delle Riunione Scientifica Istituto Italiano di Preistoria e Protostoria;
2952;1953;4th Conference International Association of Quaternary Research;
2953;2016;Preistoria e Protostoria dell'Emilia-Romagna, Vol. 1;
2954;2007;Atti delle Riunione Scientifica Istituto Italiano di Preistoria e Protostoria;
2955;2003;Datation par les methodes Uranium-Thorium (U/Th) et Resonance Paramagnetique Electronique (RPE) de deux gisements du Paleolithique moyen et superieur de Venetie: la Grotta de Fumane (Monts Lessini - Verone) et la Grotte Majeure de San Bernardino (Monts Berici - Vicence);
2957;2012;Evolutionary Anthropology;
2958;2006;Tübinger Publications in Prehistory;
2959;1992;Preistoria Alpina;
2960;2015;Science;
2961;2005;Pitture paleolitiche nelle Prealpi Venete: Grotta di Fumane e Riparo Dalmeri;
2962;2014;Vestnik Novosibirskogo Universiteta, History and Philosophy series;
2963;2019;Nature;
2964;2017;PLOS ONE;
2965;2014;The Early Upper Paleolithic Occupation at Ghar-e Boof Cave: A Reconstruction of Cultural Traditions in Southern Zagros Mountains of Iran;
2966;1999;ArchéoSciences, Revue d'archéométrie;
2967;2009;Quaternary Science Reviews;
2968;2010;The Last Hunther-Gatherers: The Epipalaeolithic In Southwestern Syria;
2969;2019;Quaternary International;
2970;2019;Nature;
2971;2012;Comptes Rendus Palevol;
2972;2018;Palaeolithic Italy: Advanced Studies on Early Human Adaptations in the Apennine Peninsula;
2973;2013;Comptes Rendus Palevol;
2974;2016;Journal of Human Evolution;
2975;2011;Proceedings of the National Academy of Sciences of the United States of America;
2976;2013;PLOS ONE;
2977;2018;Journal of Quaternary Science;
2978;2018;Lithic Technological Organization and Paleoenvironmental Change;
2979;2015;Journal of Archaeological Method and Theory;
2980;1995;The Middle Paleolithic Site of Combe-Capelle Bas (France);
2981;2017;Journal of Archaeological Science: Reports;
2982;2015;Problemy arheologii, jetnografii, antropologii Sibiri i sopredel'nyh territorij;
2983;2005;Atti del IV Convegno nazionale di archeozoologia: Pordenone, 13-15 novembre 2003;
2984;2016;Problemy arheologii, jetnografii, antropologii Sibiri i sopredel'nyh territorij;
2985;1999;The role of early humans in the accumulation of European Lower and Middle Palaeolithic bone assemblages;
2986;2017;Quaternary International;
2987;2008;Chronique Archéologique en Syrie;
2988;2014;Human origin sites and the World Heritage Convention in Asia;
2989;1995;American Journal of Physical Anthropology;
2990;2002;Current Anthropology;
2991;2003;Proceedings of the Society of Philippine Archaeologists;
2992;2007;Geoarchaeology;
2993;1978;Archaeology & Physical Anthropology in Oceania;
2994;2019;Geißenklösterle: Chronostratigraphy, Paleoenvironment and Subsistence during the Middle and Upper Paleolithic of the Swabian Jura;
2995;2012;Journal of Human Evolution;
2996;2009;Geißenklösterle, Das Gravettien der Schwäbischen Alb im europäischen Kontext;
2997;2019;Journal of Human Evolution;
2998;2018;Journal of Anthropological Sciences;
2999;1958;Bulletin de la Société Géologique de France;
3000;2002;Journal of Archaeological Science;
3001;1991;Mammals of Algeria;
3002;1968;The Quarterly Review of Biology;
3003;2003;Eiszeitschmuck - Status und Schönheit: [Katalog zur Sonderausstellung "Eiszeitkunst - Status und Schönheit"];
3004;2017;Scientific Reports;
3005;2001;Eiszeitkunst im süddeutsch-schweizerischen Jura: Anfänge der Kunst;
3006;2016;Quartär;
3007;2019;Archäologisches Korrespondenzblatt;
3008;2015;Quaternary Science Reviews;
3009;2011;Quartär;
3011;1994;Honor among thieves: a zooarchaeological study of Neandertal ecology;
3012;2009;Nature;
3013;2009;Nature;
3014;2014;Das Magdalénien des Hohle Fels Chronologische Stellung, Lithische Technologie und Funktion der Rückenmesser;
3015;2018;PLOS ONE;
3016;2004;Nature;
3017;2018;PLOS ONE;
3018;2008;American Journal of Physical Anthropology;
3019;1973;Journal of Human Evolution;
3020;2014;L'Anthropologie;
3021;2004;The Middle Paleolithic and Early Upper Paleolithic of Eastern Crimea;
3022;2004;The Middle Paleolithic and Early Upper Paleolithic of Eastern Crimea;
3023;2017;PLOS ONE;
3024;2017;Quaternary International;
3025;2016;ZooKeys;
3026;2015;Geobios;
3027;2015;Quaternary Geochronology;
3028;2010;Anthropological Science;
3029;2008;Journal of Human Evolution;
3030;2010;Radiocarbon;
3031;2009;Geoarchaeology;
3032;2007;Radiation Measurements;
3033;2006;Developing a Framework for Late Quaternary Human Paleoecology in Central Asia: 2003-2004 Investigations at Anghilak Cave, Uzbekistan;
3034;2000;Anthropologie;
3035;1996;Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science;
3036;1962;Die Erforschung der Höhle Sveduv Stul 1953 - 1955;
3037;2013;Hunters between East and West: The Paleolithic of Moravia;
3038;1991;Quartär;
3039;1988;Die Geißenklösterle-Höhle im Achtal bei Blaubeuren I: Fundhorizontbildung und Besiedlung im Mittelpaläolithikum und im Aurignacien;
3040;2015;Schmuckstücke, Die Elfenbeinbearbeitung im Schwäbischen Aurignacien;
3041;2004;Mitteilungen der Gesellschaft für Urgeschichte;
3042;2018;PLOS ONE;
3043;2014;Quartär;
3044;2009;Mitteilungen der Gesellschaft für Urgeschichte;
3045;2008;Journal of Human Evolution;
3046;2015;A Tale of Two Swabian Caves: Geoarchaeological Investigations at Hohle Fels and Geißenklösterle;
3047;1973;Das Paläolithikum der Brillenhöhle bei Blaubeuren (Schwäbische Alb);
3048;1968;Gallia Préhistoire;
3049;1997;Quaternaire;
3050;1990;Comptes Rendus de l'Académie des Sciences, Serié II;
3051;1989;La Baume de Gigny (Jura);
3052;2005;Revue Archéologique de l'Est;
3053;2009;Journal of Human Evolution;
3054;2012;International Journal of Osteoarchaeology;
3055;2010;Environnement et subsistance au Pléistocène supérieur dans l'est de la France et au Luxembourg: étude ostéologique des gisements de la Baume de Gigny (Jura), Vergisson II (Saône-et-Loire) et Oetrange (Luxembourg);
3056;1982;Gallia Préhistoire;
3057;2014;Bulletin de la Société Préhistorique Française;
3058;1952;Revue de Géographie de Lyon;
3059;1961;Gallia Préhistoire;
3060;1964;Gallia Préhistoire;
3061;2005;Les Premiers Peuplements en Europe;
3062;2015;Grotte du Bison: deux chasseurs pour un gibier. Analyse archéozoologique de la couche I-J sur le site moustérien de la Grotte du Bison, Arcy-sur-Cure (Yonne, France);
3063;2018;L'Anthropologie;
3064;2014;GSA Annual Meeting in Vancouver British Columbia (19-22 October 2014);
3065;2012;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
3066;2012;Paleo;
3067;2003;Journal of Archaeological Science;
3068;2018;Quaternary International;
3069;2017;Interaccions entre felins i humans. III Jornades d’Arqueozoologia;
3070;2017;Quaternary Science Reviews;
3071;1980;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
3072;2007;Paleo;
3073;1994;Anthropologie;
3075;1994;Journal of Anthropological Archaeology;
3076;2012;Mitteilungen der Gesellschaft für Urgeschichte;
3077;2000;Fundberichte aus Baden-Württemberg;
3078;1996;Spuren der Jagd - die Jagd nach Spuren: Festschrift für Hansjürgen Müller-Beck;
3079;2004;Mitteilungen der Gesellschaft für Urgeschichte;
3080;1997;Archäologische Ausgrabungen in Baden-Württemberg;
3081;1995;Palaeogeography, Palaeoclimatology, Palaeoecology;
3082;2007;Un Siècle de Construction du Discours Scientifique en Préhistoire, Vol. III: Aux conceptions d'aujourd'hui. Actes du Congrès Préhistorique de France, XXVIe session, congrès du Centenaire, 21-25 septembre 2004, Avignon-Bonnieux;
3083;2004;Bulletins et Mémoires de la Société d'Anthropologie de Paris;
3084;1994;Journal of Archaeological Science;
3085;2002;Pyrenae;
3087;1955;Bulletin de la Société Préhistorique Française;
3089;2007;Planification des activités de subsistance au sein du territoire des derniers Moustériens. Cémentochronologie et approche archéozoologique de gisements du Paléolithique moyen (Pech-de-l'Azé I, La Quina, Mauran) et Paléolithique supérieur ancien (Isturitz);
3090;2014;Paleo;
3091;2002;Palaeolithic Site Pushkari 1;
3092;1999;Problemy arheologii, jetnografii, antropologii Sibiri i sopredel'nyh territorij;
3093;2001;Altai Prehistory: New from the archaeology lab. Gorno-Altaisk;
3094;2019;Journal of Human Evolution;
3095;2010;Quaternary Research;
3096;2015;Ancient Cultures of Eastern Europe: reference monuments and supporting complexes in the context of modern archaeological research. Zamyatninsky collection;
3097;2017;Le Sungirien;
3098;2016;Journal of Archaeological Science: Reports;
3099;2014;Modern human dispersal on the southern plain of Eastern Europe;
3100;2007;Geoarchaeology;
3101;2012;Biryuchiya Balka-2: Mnogosloinyi paleoliticheskii pamyatnik v basseine Nizhnego Dona [Biryuchiya Balka-2: Multilayered Palaeolithic site in the Lower Don basin];
3102;2004;Actes du XIVème Congrès UISPP: Université de Liège, Belgique, 2-8 septembre 2001, Section 5 - Le Paléolithiqie Moyen;
3103;2010;Stratum plus;
3104;2014;Quaternary International;
3105;2003;Antiquity;
3106;2015;Ancient Cultures of Eastern Europe: reference monuments and supporting complexes in the context of modern archaeological research. Zamyatninsky collection;
3107;2015;Transactions of the Institute for the History of Material Culture;
3108;2019;The Cultural Geography of the Palaeolithic in the East-European Plain from the Micoquian to the Epigravettian;
3109;2018;Stratified site Nepryachino;
3111;2012;Geomorphic Processes and Geoarchaeoogy: from Landscape Archaeology to Archaeotourism. International conference held in Moscow-Smolensk, Russia, August 20-24, 2012;
3112;1979;Atti della Società Toscana di Scienze Naturali Memorie, Serie A;
3113;2019;Geoarchaeology;
3114;2007;Antiquity;
3115;2015;Quaternary International;
3116;1997;Rivista di Scienze Preistoriche;
3117;2001;L'Anthropologie;
3118;2008;Un accampamento di 30.000 anni fa a Bilancino (Mugello, Firenze);
3119;2004;Actes du XIVème Congrès UISPP: Université de Liège, Belgique, 2-8 septembre 2001, Section 6 - Le Paléolithique Supérieur;
3120;2012;Preistoria Alpina;
3121;2008;Rivista di Scienze Preistoriche;
3122;2012;Journal of Biological Research;
3123;1938;Rendiconti dell' Accademia Nazionale Dei Lincei;
3124;2016;Quaternary International;
3125;2011;Neanderthal Lifeways, Subsistence and Technology: One Hundred Fifty Years of Neanderthal Study;
3126;2004;Actes du XIVème Congrès UISPP: Université de Liège, Belgique, 2-8 septembre 2001, Section 5 - Le Paléolithiqie Moyen;
3127;2007;L'Anthropologie;
3128;2014;Journal of Lithic Studies;
3129;2019;Journal of Archaeological Science: Reports;
3130;2005;Rivista di Scienze Preistoriche;
3131;2012;L'Anthropologie;
3132;2012;Atti della Società Toscana di Scienze Naturali Memorie, Serie A;
3133;2010;ArcheoSciences;
3134;2012;Journal of Human Evolution;
3135;1966;Rivista di Studi Liguri;
3136;1996;Guide Archéologique;
3137;2014;Proceedings of the International Conference on Use-Wear analysis, Use-Wear 2012;
3138;2018;Quartär;
3139;2014;Quaternary International;
3140;2006;Atti del V Convegno Nazionale di Archeozoologia;
3141;1998;Current Anthropology;
3142;1977;Rivista di Scienze Preistoriche;
