assemblage.name;assemblage.category;country_continent.continent;locality.idlocality;locality.x;locality.y
LacDuBouchet_Neotoma_1765;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1770;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1775;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1780;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1785;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1790;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1795;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1800;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1805;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1810;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1813;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1815;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1817;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1820;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1823;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1825;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1828;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1830;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1835;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1840;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1845;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_185;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1850;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1853;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1855;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1858;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1860;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1864;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1865;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1870;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1871;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1872;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1873;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1874;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1875;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1877;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1879;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1880;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1881;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1882;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1884;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1885;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1886;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1889;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1890;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1891;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1892;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1893;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1895;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1900;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1905;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1910;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1920;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1925;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1930;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1935;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1940;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1945;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1950;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1955;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1959;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1960;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1965;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1966;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1967;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1968;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1970;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1973;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1975;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1980;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1983;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1985;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1990;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1995;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_1998;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_2000;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_2002;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_220;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_225;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_235;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_245;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_25;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_265;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_275;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_285;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_295;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_30;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_305;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_315;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_345;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_35;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_355;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_365;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_375;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_385;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_425;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_45;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_455;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_465;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_475;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_485;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_50;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_505;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_515;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_525;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_535;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_545;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_55;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_555;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_575;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_585;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_595;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_60;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_605;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_615;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_625;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_635;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_645;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_665;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_675;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_685;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_695;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_705;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_715;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_725;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_735;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_745;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_75;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_755;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_765;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_775;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_785;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_795;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_802;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_815;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_825;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_835;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_845;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_85;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_855;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_865;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_875;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_885;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_895;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_905;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_915;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_935;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_94;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_945;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_955;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_965;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_975;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_985;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_990;plant remains;Europe;Lac Du Bouchet;3.783333;44.916667;
Laetolil Fauna;paleofauna;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 01;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 02;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 03;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 04;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 05;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 06;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 07;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 08;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 09;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 10;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 11;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 12;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 13;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 14;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 15;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 16;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 17;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 18;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 19;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 20;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 21;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 22;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 23;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 24;human remains;Africa;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 25;human remains;Africa;Laetoli;35.21666667;-3.166666667;
ML79;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
ML81-7;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
Ngaloba beds;human remains;Africa;Laetoli;35.21666667;-3.166666667;
RH75-a;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH75-a prime;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH75-d;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH75-e;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH80-45;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH80-60;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH80-top;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
RH81;plant remains;Africa;Laetoli;35.21666667;-3.166666667;
EE15 surface;feature, raw material, technology, typology;Europe;Lagar Velho;-8.732778;39.756944;
TP06;raw material, technology, typology;Europe;Lagar Velho;-8.732778;39.756944;
TP09;raw material, technology, typology;Europe;Lagar Velho;-8.732778;39.756944;
child burial;symbolic artifacts;Europe;Lagar Velho;-8.732778;39.756944;
Laibin Cultural Layer 2;feature, raw material, technology, typology;Asia;Laibin;109.091389;23.726389;
Laibin fauna layer 2;paleofauna;Asia;Laibin;109.091389;23.726389;
Laibin layer 2 human remains;human remains;Asia;Laibin;109.091389;23.726389;
Khaki 2 hominids human remains 1;human remains;Africa;Lainyamok;36.1869917;-1.7733444;
Khaki 2 hominids human remains 2;human remains;Africa;Lainyamok;36.1869917;-1.7733444;
Lainyamok Khaki 2 Archaeological Assemblage;raw material, technology, typology;Africa;Lainyamok;36.1869917;-1.7733444;
Lainyamok Laminated Silts Archaeological Assemblage;raw material, technology, typology;Africa;Lainyamok;36.1869917;-1.7733444;
Lainyamok surface collection fauna;paleofauna;Africa;Lainyamok;36.1869917;-1.7733444;
LakeBaikal_Potsdam_390;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_391.1;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_391.2;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.08;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.13;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.155;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.18;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.205;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.23;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.255;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.28;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.305;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.33;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.355;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.38;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.405;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.43;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.455;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.48;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.505;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.53;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.555;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.58;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.605;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.63;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.655;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.68;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.705;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.73;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.755;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.78;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.805;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.83;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.855;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.88;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.905;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.93;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.955;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.98;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.005;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.08;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.105;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.125;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.13;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.15;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.155;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.18;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.2;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.205;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.225;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.23;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.255;plant remains;Asia;Lake Baikal;105.8575;52.0795;
LakeElgygytgyn_Pangaea_11.6;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_11.7;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_11.75;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.03;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.1;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.13;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.2;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.24;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_4.97;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_5.18;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_5.76;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_5.91;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.02;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.12;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.22;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.32;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.42;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.52;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.57;plant remains;Asia;Lake Elgygytgyn;172.13833;67.50666;
LakeMalawi_Neotoma_10.4;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_100.3;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_100.6;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_100.9;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_101.4;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_101.7;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_102.5;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_102.8;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_103.1;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_103.7;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_104;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_104.3;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_104.5;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_105.4;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_105.7;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_106;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_106.6;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_107.2;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_107.5;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_108.5;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_108.8;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_109.1;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_109.4;plant remains;Africa;Lake Malawi;34.435833;-11.294333;
